Name,Module,Release No,Dependencies,Description,Supported,From field: Dependencies,Created
Shesha.Core-0.40.0,Shesha.Core,0.40.0,,"New Components: Charts, Kanban, Chevron",,"Shesha.Enterprise-2.2.7,Shesha.Enterprise-2.2.0,Boxfusion.PublicPortal-0.4.0,BoxStack-4",2025-10-17 9:23am
Shesha.Core-0.39.3,Shesha.Core,0.39.3,,Hotfix,,"Shesha.Enterprise-2.1.1,Boxfusion.PublicPortal-0.3.0,BoxStack-3",2025-10-17 9:23am
Shesha.Core-0.39.2,Shesha.Core,0.39.2,,Hotfix,,"Shesha.Enterprise-2.0.9,Boxfusion.PublicPortal-0.2.5,BoxStack-2",2025-10-17 9:23am
Shesha.Core-0.39.1,Shesha.Core,0.39.1,,Hotfix,,"Shesha.Enterprise-1.9.3,Boxfusion.PublicPortal-0.1.0,BoxStack-1",2025-10-17 9:23am
Shesha.Core-0.39.0,Shesha.Core,0.39.0,,,,,2025-10-17 9:20am
Shesha.Enterprise-6.0.0,Shesha.Enterprise,6.0.0,Shesha.Core-0.44.0,"Updated to the latest 0.44.0.Fixed questionnaire, qquestionnaire response, tree, checklist components. New Consolidated Map",,,2025-10-20 12:14pm
Shesha.Enterprise-5.0.20,Shesha.Enterprise,5.0.20,Shesha.Core-0.43.33,"Updated to the latest 0.43.33. Fixed open/close side menu, ""Created by"" timestamp for workflow header; added Spell check for Content Field; Tree optimisation",,BoxStack-43,2026-05-07 2:09pm
Shesha.Enterprise-5.0.19,Shesha.Enterprise,5.0.19,Shesha.Core-0.43.32,"Updated to the latest 0.43.32. Optimisation of Workflow engine, GetAvailableAppointments, tree component",,BoxStack-42,2026-04-30 3:06pm
Shesha.Enterprise-5.0.18,Shesha.Enterprise,5.0.18,Shesha.Core-0.43.31,Updated to the latest 0.43.31. Showing SLA Days on Workflow Header,,BoxStack-41,2026-04-23 4:52pm
Shesha.Enterprise-5.0.17,Shesha.Enterprise,5.0.17,Shesha.Core-0.43.30,"Updated to the latest 0.43.30. Added SLA indicator, progress indicator shows decision label, fixed position loading, changes for Content tab component",,BoxStack-40,2026-04-17 4:02pm
Shesha.Enterprise-5.0.16,Shesha.Enterprise,5.0.16,Shesha.Core-0.43.28,"Updated to the latest 0.43.28. Fixed Search under organisation, Checklists import, side menu opening/closing, Assign multiple users to a single instance User Task, missing @uiw/react-signature dependency",,BoxStack-39,2026-04-06 2:37pm
Shesha.Enterprise-5.0.15,Shesha.Enterprise,5.0.15,Shesha.Core-0.43.27,"Updated to the latest 0.43.27. New signature component, new setting for SLA reminder",,BoxStack-38,2026-03-02 10:22am
Shesha.Enterprise-5.0.14,Shesha.Enterprise,5.0.14,Shesha.Core-0.43.25,Updated to the latest Shesha 0.43.25. Fixed organisation positions forms; New Profile settings page; New Details kebab menu on the workflow action header,,"BoxStack-37,Shesha.Enterprise-5.0.13,Boxfusion.Sheshamobile-1.3.7",2026-02-10 4:43pm
Shesha.Enterprise-5.0.13,Shesha.Enterprise,5.0.13,"Shesha.Core-0.43.25,Shesha.Enterprise-5.0.14",Updated to the latest 0.43.24. Implemented new custom action for workflow audit; workflow step header with friendly workflow name,,"BoxStack-36,boxfusion.content-1.6.6,boxfusion.content-1.6.7,Boxfusion.Sheshamobile-1.3.6",2026-01-16 3:42pm
Shesha.Enterprise-5.0.12,Shesha.Enterprise,5.0.12,Shesha.Core-0.43.23,Updated to 0.43.23. Fixed the structured list items not deleting and onblur not working or saving on the richtext editor,,BoxStack-35,2026-01-14 9:46am
Shesha.Enterprise-5.0.11,Shesha.Enterprise,5.0.11,Shesha.Core-0.43.21,Updated to the latest 0.43.21. First version of referral support,,BoxStack-34,2025-12-17 5:01pm
Shesha.Enterprise-5.0.10,Shesha.Enterprise,5.0.10,Shesha.Core-0.43.19,Updated to 0.43.19. Fixed organisation positions forms; New out-of-office delegations,,BoxStack-33,2025-12-10 10:39am
Shesha.Enterprise-5.0.9,Shesha.Enterprise,5.0.9,Shesha.Core-0.43.18,Updated to the latest 0.43.18,,BoxStack-32,2025-12-05 4:45pm
Shesha.Enterprise-5.0.8,Shesha.Enterprise,5.0.8,Shesha.Core-0.43.17,"Removed securityClearance, added JobLevel and ActiveAppointment to Employee; fixed draft items in Incoming",,,2025-11-25 11:44am
Shesha.Enterprise-5.0.7,Shesha.Enterprise,5.0.7,Shesha.Core-0.43.17,Updated to the latest 0.43.17,,"BoxStack-29,BoxStack-30",2025-11-13 9:29am
Shesha.Enterprise-5.0.6,Shesha.Enterprise,5.0.6,Shesha.Core-0.43.16,Fixed image generation in PDF document,,BoxStack-28,2025-11-05 2:45pm
Shesha.Enterprise-5.0.5,Shesha.Enterprise,5.0.5,Shesha.Core-0.43.16,Updated to the latest 0.43.16,,,2025-11-05 2:45pm
Shesha.Enterprise-5.0.4,Shesha.Enterprise,5.0.4,Shesha.Core-0.43.15,"Enable Dynamic Expressions for User Task Name, fixed contexts and ContentField component",,BoxStack-27,2025-10-17 9:24am
Shesha.Enterprise-5.0.3,Shesha.Enterprise,5.0.3,Shesha.Core-0.43.15,"Update to Shesha 0.43.15. New components: ContentField, BreadCrumb, StructuredList",,,2025-10-17 9:24am
Shesha.Enterprise-5.0.2,Shesha.Enterprise,5.0.2,Shesha.Core-0.43.14,Fixed handling of multi-instance body for referrals,,,2025-10-17 9:24am
